Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
DC,121.0,5,4.0,1.0,58*,40.33,79.0,153.16,0,1.0,11,7
CSK,118.0,6,5.0,2.0,69*,39.33,91.0,129.67,0,1.0,8,3
CSK,114.0,5,5.0,0.0,88,22.80,84.0,135.71,0,1.0,11,4
RCB,112.0,10,8.0,1.0,54,16.00,84.0,133.33,0,1.0,4,9
RCB,109.0,15,7.0,1.0,73*,18.17,86.0,126.74,0,1.0,9,4
RR,106.0,9,8.0,4.0,34*,26.50,66.0,160.6,0,0.0,6,8
GT,99.0,15,12.0,4.0,24*,12.38,59.0,167.79,0,0.0,6,7
SRH,97.0,14,9.0,5.0,22*,24.25,58.0,167.24,0,0.0,6,7
RCB,95.0,4,4.0,1.0,41*,31.67,64.0,148.43,0,0.0,10,2
KKR,92.0,3,3.0,1.0,37,46.00,65.0,141.53,0,0.0,5,5
SRH,92.0,5,5.0,2.0,32*,30.67,69.0,133.33,0,0.0,7,2
MI,85.0,2,2.0,0.0,47,42.50,46.0,184.78,0,0.0,7,5
PBKS,75.0,14,8.0,4.0,34*,18.75,63.0,119.04,0,0.0,3,4
KKR,74.0,5,5.0,1.0,35,18.50,53.0,139.62,0,0.0,10,3
CSK,71.0,5,5.0,0.0,27,14.20,63.0,112.69,0,0.0,9,2
RCB,70.0,8,3.0,1.0,53*,35.00,24.0,256.76874999999995,0,1.0,5,7
CSK,68.0,3,3.0,0.0,37,22.67,32.0,212.5,0,0.0,5,6
RCB,67.0,2,2.0,0.0,55,33.50,39.0,171.79,0,1.0,9,3
RR,63.0,12,7.0,1.0,30,10.50,50.0,126.0,0,0.0,3,4
SRH,61.0,8,5.0,0.0,43,12.20,61.0,100.0,0,0.0,2,4
PBKS,57.0,9,5.0,1.0,21*,14.25,41.0,139.02,0,0.0,6,3
KKR,57.0,13,7.0,3.0,34,14.25,53.0,107.54,0,0.0,5,3
DC,55.0,6,6.0,0.0,38,9.17,52.0,105.76,0,0.0,7,2
CSK,55.0,5,5.0,0.0,23,11.00,57.0,96.49,0,0.0,6,1
PBKS,48.0,7,6.0,0.0,30,8.00,49.0,97.95,0,0.0,5,1
MI,47.0,2,2.0,0.0,27,23.50,32.0,146.87,0,0.0,3,3
KKR,47.0,11,7.0,2.0,22,9.40,35.0,134.28,0,0.0,1,4
GT,40.0,15,8.0,3.0,12,8.00,28.0,142.85,0,0.0,2,3
MI,40.0,13,8.0,6.0,18*,20.00,33.0,121.21,0,0.0,2,3
MI,37.0,14,4.0,3.0,28*,37.00,25.0,148.0,0,0.0,3,2
CSK,33.0,9,4.0,0.0,13,8.25,30.0,110.0,0,0.0,3,1
CSK,31.0,7,5.0,0.0,22,6.20,41.0,75.6,0,0.0,2,1
GT,23.0,9,5.0,3.0,20,11.50,19.0,121.05,0,0.0,0,3
DC,22.0,1,1.0,0.0,22,22.00,16.0,137.5,0,0.0,0,2
LSG,21.0,13,4.0,3.0,19*,21.00,12.0,175.0,0,0.0,3,1
SRH,21.0,13,4.0,2.0,12*,10.50,26.0,80.76,0,0.0,0,0
GT,20.0,1,1.0,0.0,20,20.00,10.0,200.0,0,0.0,1,2
LSG,18.0,10,5.0,2.0,6,6.00,12.0,150.0,0,0.0,3,0
DC,18.0,14,5.0,2.0,7,6.00,16.0,112.5,0,0.0,2,0
GT,17.0,4,2.0,0.0,12,8.50,11.0,154.54,0,0.0,2,1
CSK,15.0,3,2.0,2.0,11*,-,7.0,214.28,0,0.0,1,1
CSK,14.0,8,5.0,3.0,5*,7.00,12.0,116.66,0,0.0,2,0
LSG,14.0,1,1.0,0.0,14,14.00,12.0,116.66,0,0.0,1,1
RCB,14.0,14,6.0,3.0,8,4.67,25.0,56.0,0,0.0,1,0
SRH,13.0,1,1.0,0.0,13,13.00,9.0,144.44,0,0.0,3,0
LSG,13.0,11,3.0,1.0,13,6.50,16.0,81.25,0,0.0,0,2
PBKS,11.0,8,2.0,1.0,7*,11.00,13.0,84.61,0,0.0,0,1
PBKS,11.0,4,1.0,0.0,11,11.00,15.0,73.33,0,0.0,1,0
SRH,10.0,9,4.0,3.0,6*,10.00,10.0,100.0,0,0.0,1,0
DC,10.0,6,3.0,3.0,8*,-,14.0,71.42,0,0.0,0,0
RR,10.0,11,4.0,2.0,5,5.00,27.0,37.03,0,0.0,0,0
GT,9.0,4,2.0,1.0,7*,9.00,8.0,112.5,0,0.0,0,1
LSG,9.0,3,1.0,0.0,9,9.00,8.0,112.5,0,0.0,1,0
SRH,9.0,1,1.0,0.0,9,9.00,11.0,81.81,0,0.0,1,0
RR,9.0,11,5.0,0.0,4,1.80,15.0,60.0,0,0.0,0,0
RR,8.0,2,1.0,1.0,8*,-,2.0,256.76874999999995,0,0.0,2,0
MI,8.0,3,1.0,1.0,8*,-,4.0,200.0,0,0.0,0,0
RR,7.0,10,4.0,3.0,3,7.00,8.0,87.5,0,0.0,0,0
PBKS,7.0,5,3.0,0.0,4,2.33,11.0,63.63,0,0.0,0,0
CSK,7.0,14,6.0,2.0,2*,1.75,17.0,41.17,0,0.0,0,0
LSG,6.0,6,2.0,1.0,6*,6.00,2.0,256.76874999999995,0,0.0,0,1
RR,6.0,10,1.0,1.0,6*,-,5.0,120.0,0,0.0,0,0
DC,6.0,11,6.0,4.0,2*,3.00,10.0,60.0,0,0.0,0,0
MI,6.0,2,2.0,0.0,3,3.00,15.0,40.0,0,0.0,0,0
KKR,5.0,2,1.0,0.0,5,5.00,5.0,100.0,0,0.0,1,0
GT,5.0,15,3.0,0.0,3,1.67,10.0,50.0,0,0.0,0,0
LSG,5.0,6,2.0,2.0,4*,-,10.0,50.0,0,0.0,0,0
KKR,5.0,6,2.0,0.0,5,2.50,14.0,35.71,0,0.0,0,0
PBKS,4.0,4,1.0,1.0,4*,-,1.0,256.76874999999995,0,0.0,1,0
RCB,4.0,15,3.0,1.0,3,2.00,8.0,50.0,0,0.0,0,0
RR,4.0,4,1.0,1.0,4*,-,9.0,44.44,0,0.0,0,0
DC,3.0,1,1.0,0.0,3,3.00,4.0,75.0,0,0.0,0,0
GT,3.0,15,1.0,1.0,3*,-,4.0,75.0,0,0.0,0,0
RR,3.0,4,2.0,0.0,2,1.50,5.0,60.0,0,0.0,0,0
SRH,3.0,4,3.0,1.0,3*,1.50,7.0,42.85,0,0.0,0,0
RR,2.0,5,1.0,1.0,2*,-,2.0,100.0,0,0.0,0,0
MI,2.0,16,2.0,1.0,1*,2.00,3.0,66.66,0,0.0,0,0
KKR,2.0,4,2.0,2.0,1*,-,4.0,50.0,0,0.0,0,0
PBKS,2.0,17,2.0,1.0,1*,2.00,6.0,33.33,0,0.0,0,0
KKR,1.0,13,1.0,1.0,1*,-,1.0,100.0,0,0.0,0,0
MI,1.0,2,1.0,1.0,1*,-,1.0,100.0,0,0.0,0,0
MI,1.0,6,1.0,1.0,1*,-,1.0,100.0,0,0.0,0,0
CSK,1.0,14,2.0,2.0,1*,-,2.0,50.0,0,0.0,0,0
DC,1.0,8,2.0,1.0,1*,1.00,3.0,33.33,0,0.0,0,0
DC,1.0,1,1.0,0.0,1,1.00,3.0,33.33,0,0.0,0,0
LSG,1.0,13,2.0,1.0,1,1.00,3.0,33.33,0,0.0,0,0
RCB,1.0,1,1.0,0.0,1,1.00,4.0,25.0,0,0.0,0,0
